,title,year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,release_date,production_budget,worldwide_gross,domestic_roi,worldwide_roi,original_language,original_title,popularity,vote_average,vote_count,title_change
0,#Horror,2015.0,101.0,"Crime,Drama,Horror",3.0,3092.0,,,0.0,2015-11-20,1500000.0,0.0,-1.0,-1.0,de,#Horror,6.099,3.3,102,False
1,10 Cloverfield Lane,2016.0,103.0,"Drama,Horror,Mystery",7.2,260383.0,Par.,72100000.0,1.0,2016-03-11,5000000.0,108286422.0,13.4165998,20.6572844,en,10 Cloverfield Lane,17.892,6.9,4629,False
2,12 Strong,2018.0,130.0,"Action,Drama,History",6.6,50155.0,WB,45800000.0,1.0,2018-01-19,35000000.0,71118378.0,0.30913465714285715,1.0319536571428571,en,12 Strong,13.183,5.6,1312,False
3,127 Hours,2010.0,94.0,"Adventure,Biography,Drama",7.6,323949.0,FoxS,18300000.0,1.0,2010-11-05,18000000.0,60217171.0,0.018623888888888888,2.345398388888889,en,127 Hours,11.435,7.0,4469,False
4,13 Hours: The Secret Soldiers of Benghazi,2016.0,87.0,,6.5,49.0,Par.,52900000.0,1.0,2016-01-15,50000000.0,69411370.0,0.05706438,0.3882274,en,13 Hours: The Secret Soldiers of Benghazi,21.486,7.0,1573,False
5,13 Sins,2014.0,93.0,"Horror,Thriller",6.3,29550.0,RTWC,13800.0,0.0,2014-04-18,4000000.0,47552.0,-0.9977165,-0.988112,en,13 Sins,10.899000000000001,6.3,576,False
6,2 Guns,2013.0,109.0,"Action,Comedy,Crime",6.7,182025.0,Uni.,75600000.0,1.0,2013-08-02,61000000.0,132493015.0,0.23954852459016393,1.1720166393442624,en,2 Guns,14.8,6.5,2368,False
7,22 Jump Street,2014.0,112.0,"Action,Comedy,Crime",7.0,319504.0,Sony,191700000.0,1.0,2014-06-13,50000000.0,331333876.0,2.83438674,5.62667752,en,22 Jump Street,11.175999999999998,6.9,5167,False
8,23 Blast,2014.0,98.0,"Drama,Family,Sport",6.5,1567.0,,,0.0,2014-10-24,1000000.0,549185.0,-0.450815,-0.450815,en,23 Blast,2.213,6.5,31,False
9,30 Minutes or Less,2011.0,83.0,"Action,Comedy,Crime",6.1,87254.0,Sony,37100000.0,1.0,2011-08-12,28000000.0,40966716.0,0.3233544285714286,0.463097,en,30 Minutes or Less,11.315,5.6,825,False
10,300: Rise of an Empire,2014.0,102.0,"Action,Fantasy,War",6.2,262978.0,,,0.0,2014-03-07,110000000.0,330780051.0,-0.031090445454545455,2.0070913727272726,en,300: Rise of an Empire,23.68,6.0,3870,False
11,31,2016.0,102.0,"Horror,Thriller",5.1,15055.0,,,0.0,2016-10-21,1500000.0,922727.0,-0.48012,-0.38484866666666667,en,31,8.683,5.2,370,False
12,42,2013.0,128.0,"Biography,Drama,Sport",7.5,77703.0,,,0.0,2013-04-12,31000000.0,97470701.0,2.0651681612903228,2.1442161612903226,en,42,11.28,7.0,1028,False
13,47 Ronin,2013.0,128.0,"Action,Adventure,Drama",6.3,135754.0,Uni.,38400000.0,1.0,2013-12-25,175000000.0,151716815.0,-0.7807858571428572,-0.13304677142857144,en,47 Ronin,25.049,6.0,2080,False
14,50 to 1,2014.0,110.0,Drama,6.6,1739.0,,,0.0,2014-03-21,10000000.0,1069454.0,-0.8930546,-0.8930546,en,50 to 1,2.852,6.2,25,False
15,90 Minutes in Heaven,2015.0,121.0,Drama,4.8,3105.0,,,0.0,2015-09-11,5000000.0,4816142.0,-0.0367716,-0.0367716,en,90 Minutes in Heaven,5.797999999999999,5.3,63,False
16,A Bad Moms Christmas,2017.0,104.0,"Adventure,Comedy",5.5,33056.0,STX,72100000.0,1.0,2017-11-01,28000000.0,127710550.0,1.5753806785714286,3.5610910714285713,en,A Bad Moms Christmas,16.604,6.3,1044,False
17,A Better Life,2011.0,98.0,"Drama,Romance",7.2,14602.0,Sum.,1800000.0,0.0,2011-06-24,10000000.0,1884251.0,-0.8240748,-0.8115749,en,A Better Life,5.885,7.1,97,False
18,A Dangerous Method,2011.0,99.0,"Biography,Drama,Romance",6.4,93259.0,SPC,5700000.0,1.0,2011-11-23,20000000.0,14807531.0,-0.71489585,-0.25962345,en,A Dangerous Method,10.352,6.3,1066,False
19,A Ghost Story,2017.0,92.0,"Drama,Fantasy,Romance",6.8,46280.0,A24,1600000.0,0.0,2017-07-07,100000.0,2769782.0,14.94798,26.69782,en,A Ghost Story,11.886,7.0,906,False
20,A Good Day to Die Hard,2013.0,98.0,"Action,Thriller",5.3,188383.0,Fox,67300000.0,1.0,2013-02-14,92000000.0,304249198.0,-0.2679435,2.3070565,en,A Good Day to Die Hard,15.857999999999999,5.2,4437,False
21,A Haunted House,2013.0,86.0,"Comedy,Fantasy",5.1,40308.0,ORF,40000000.0,1.0,2013-01-11,2500000.0,59922558.0,15.0166732,22.9690232,en,A Haunted House,6.909,5.5,871,False
22,A Haunted House 2,2014.0,86.0,"Comedy,Fantasy",4.7,18085.0,ORF,17300000.0,1.0,2014-04-18,4000000.0,21206861.0,3.33237175,4.30171525,en,A Haunted House 2,6.9479999999999995,5.5,597,False
23,A Hologram for the King,2016.0,98.0,"Comedy,Drama,Romance",6.1,36062.0,RAtt.,4200000.0,0.0,2016-04-22,35000000.0,11846010.0,-0.8796430285714286,-0.6615425714285714,en,A Hologram for the King,11.055,5.9,589,False
24,A Most Violent Year,2014.0,125.0,"Crime,Drama,Thriller",7.0,60165.0,A24,5700000.0,1.0,2014-12-31,20000000.0,8846875.0,-0.7125433,-0.55765625,en,A Most Violent Year,12.270999999999999,6.6,792,False
25,A Most Wanted Man,2014.0,122.0,"Crime,Drama,Thriller",6.8,67914.0,RAtt.,17200000.0,1.0,2014-07-25,15000000.0,36068890.0,0.14919033333333334,1.4045926666666666,en,A Most Wanted Man,10.267000000000001,6.5,784,False
26,A Nightmare on Elm Street,2010.0,95.0,"Crime,Drama,Horror",5.2,85497.0,,,0.0,2010-04-30,35000000.0,117729621.0,0.8021431714285714,2.363703457142857,en,A Nightmare on Elm Street,9.795,5.5,1408,False
27,A Quiet Place,2018.0,90.0,"Drama,Horror,Sci-Fi",7.6,305031.0,Par.,188000000.0,1.0,2018-04-06,17000000.0,334522294.0,10.060256529411765,18.677782,en,A Quiet Place,29.154,7.3,5848,False
28,A Simple Favor,2018.0,117.0,"Comedy,Crime,Drama",6.9,83338.0,LGF,53500000.0,1.0,2018-09-14,20000000.0,97628717.0,1.6774293,3.88143585,en,A Simple Favor,21.121,6.6,1756,False
29,A Street Cat Named Bob,2016.0,103.0,"Biography,Comedy,Drama",7.4,23204.0,Cleopatra,82700.0,0.0,2016-11-18,8000000.0,17382693.0,-0.989662125,1.172836625,en,A Street Cat Named Bob,7.12,7.5,500,False
30,A Walk Among the Tombstones,2014.0,114.0,"Action,Crime,Drama",6.5,105116.0,Uni.,26300000.0,1.0,2014-09-19,28000000.0,62108587.0,-0.07079696428571429,1.2181638214285715,en,A Walk Among the Tombstones,19.373,6.3,1685,False
31,A Walk in the Woods,2015.0,104.0,"Adventure,Biography,Comedy",6.3,22033.0,BG,29500000.0,1.0,2015-09-02,8000000.0,37119358.0,2.68742425,3.63991975,en,A Walk in the Woods,6.935,5.9,402,False
