,id_x,release_date,title,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,id_y,original_language,original_title,popularity,vote_average,vote_count,title_change
0,1,2009-12-18,Avatar,425000000.0,760507625.0,2776345279.0,78.9429705882353,553.2577127058823,19995,en,Avatar,26.526,7.4,18676,False
1,2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,-41.28985021919143,154.6672856794934,1865,en,Pirates of the Caribbean: On Stranger Tides,30.579,6.4,8571,False
2,4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,38.84025045372051,324.38413883847545,99861,en,Avengers: Age of Ultron,44.383,7.3,13457,False
3,7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,126.27182733333333,582.7114,299536,en,Avengers: Infinity War,80.773,8.3,13948,False
4,9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,-23.65856833333333,118.64840299999999,141052,en,Justice League,34.953,6.2,7510,False
5,10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,-33.30860833333333,193.20697433333333,206647,en,Spectre,30.318,6.4,6719,False
6,11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,62.959672363636365,294.3414905454545,49026,en,The Dark Knight Rises,26.22,7.7,13933,False
7,12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,-22.266359272727275,42.96412618181818,348350,en,Solo: A Star Wars Story,29.502,6.6,3838,False
8,14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,-73.43320763636363,2.8284,49529,en,John Carter,18.549,6.1,3338,False
9,15,2010-11-24,Tangled,260000000.0,200821936.0,586477240.0,-22.760793846153845,125.56816923076923,38757,en,Tangled,21.511,7.5,6407,False
10,17,2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,63.23373960000001,356.0277652,271110,en,Captain America: Civil War,39.137,7.4,14000,False
11,18,2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,32.144077599999996,247.0001124,209112,en,Batman v Superman: Dawn of Justice,28.088,5.8,11991,False
12,19,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,21.2014272,306.80142720000003,49051,en,The Hobbit: An Unexpected Journey,26.939,7.2,12076,False
13,21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,3.346742,284.14674199999996,57158,en,The Hobbit: The Desolation of Smaug,21.275,7.6,7739,False
14,22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,2.0479152000000003,278.23104839999996,122917,en,The Hobbit: The Battle of the Five Armies,53.783,7.3,8392,False
15,23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,-9.694094,393.9385068,337339,en,The Fate of the Furious,28.668000000000003,6.9,6335,False
16,25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,-24.974401739130432,242.71353782608696,166426,en,Pirates of the Caribbean: Dead Men Tell No Tales,28.101,6.6,6931,False
17,27,2012-05-04,The Avengers,225000000.0,623279547.0,1517935897.0,177.01313199999998,574.6381764444444,24428,en,The Avengers,50.288999999999994,7.6,19673,False
18,29,2013-06-14,Man of Steel,225000000.0,291045518.0,667999518.0,29.353563555555557,196.88867466666667,49521,en,Man of Steel,27.666999999999998,6.5,9758,False
19,32,2012-05-18,Battleship,220000000.0,65233400.0,313477717.0,-70.34845454545454,42.48987136363636,44833,en,Battleship,21.741999999999997,5.6,3240,False
20,33,2017-06-21,Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,-40.01443179723502,177.8310322580645,335988,en,Transformers: The Last Knight,24.258000000000003,6.0,3255,False
21,34,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,203.38168604651165,666.9092390697674,135397,en,Jurassic World,20.709,6.6,14056,False
22,35,2012-05-25,Men in Black 3,215000000.0,179020854.0,654213485.0,-16.734486511627907,204.2853418604651,41154,en,Men in Black 3,26.176,6.4,6398,False
23,37,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,16.875750476190476,425.7328933333333,91314,en,Transformers: Age of Extinction,20.961,5.8,4805,False
24,39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,-49.76802476190476,53.551907619047626,20662,en,Robin Hood,15.444,6.3,2569,False
25,42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,250.029783,574.129112,284054,en,Black Panther,44.14,7.4,12365,False
26,44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,204.29087199999998,521.2603555000001,260513,en,Incredibles 2,36.286,7.6,6354,False
27,45,2016-12-16,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,166.088662,424.551428,330459,en,Rogue One: A Star Wars Story,21.401,7.5,9296,False
28,46,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,143.1477805,410.60759649999994,127380,en,Finding Dory,15.392999999999999,7.0,7845,False
29,48,2013-05-03,Iron Man 3,200000000.0,408992272.0,1215392272.0,104.496136,507.696136,68721,en,Iron Man 3,32.093,6.9,14155,False
30,51,2010-03-05,Alice in Wonderland,200000000.0,334191110.0,1025491110.0,67.09555499999999,412.74555499999997,12155,en,Alice in Wonderland,22.02,6.6,8713,False
31,53,2013-06-21,Monsters University,200000000.0,268488329.0,743588329.0,34.244164500000004,271.79416449999997,62211,en,Monsters University,20.33,7.0,6362,False
32,54,2013-03-08,Oz the Great and Powerful,200000000.0,234770996.0,490359051.0,17.385498,145.17952549999998,68728,en,Oz the Great and Powerful,13.377,5.8,4829,False
33,55,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,16.960766999999997,273.9313875,127585,en,X-Men: Days of Future Past,41.867,7.5,10062,False
34,56,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,1.4269665,254.498168,102382,en,The Amazing Spider-Man 2,20.846999999999998,6.4,7220,False
35,60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,-20.2220495,226.110043,338952,en,Fantastic Beasts: The Crimes of Grindelwald,48.508,6.9,4870,False
36,62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,-41.699414000000004,9.767745999999999,44912,en,Green Lantern,17.257,5.1,4290,False
37,65,2017-06-09,The Mummy,195000000.0,80101125.0,409953905.0,-58.9225,110.23277179487178,282035,en,The Mummy,18.53,5.5,4391,False
38,66,2013-03-01,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,-66.57046,1.3782579487179487,81005,en,Jack the Giant Slayer,12.773,5.6,3403,False
39,67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,85.79316842105264,699.3277863157895,168259,en,Furious 7,20.396,7.3,6538,False
40,68,2013-05-16,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,20.40982157894737,145.99030736842104,54138,en,Star Trek Into Darkness,20.487,7.4,6182,False
41,69,2013-06-21,World War Z,190000000.0,202359711.0,531514650.0,6.505111052631579,179.74455263157896,72190,en,World War Z,14.582,6.7,9132,False
42,70,2013-05-10,The Great Gatsby,190000000.0,144840419.0,351040419.0,-23.768200526315788,84.75811526315789,64682,en,The Great Gatsby,15.397,7.4,7120,False
43,72,2013-07-12,Pacific Rim,190000000.0,101802906.0,411002906.0,-46.41952315789474,116.31731894736843,68726,en,Pacific Rim,16.759,6.8,7632,False
44,73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,-34.353536,78.01121973333333,105864,en,The Good Dinosaur,17.675,6.7,3135,False
45,77,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,28.260638918918918,199.7873145945946,62177,en,Brave,18.908,6.9,8116,False
46,78,2017-03-10,Kong: Skull Island,185000000.0,168052812.0,561072059.0,-9.160642162162162,203.28219405405403,293167,en,Kong: Skull Island,29.388,6.3,6054,False
47,79,2016-07-22,Star Trek Beyond,185000000.0,158848340.0,335802233.0,-14.136032432432433,81.51472054054054,188927,en,Star Trek Beyond,19.142,6.7,4275,False
48,80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,-50.24099513513514,40.19319351351351,335984,en,Blade Runner 2049,48.571000000000005,7.4,6679,False
49,82,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,75.03238277777777,370.5444577777778,284053,en,Thor: Ragnarok,43.45,7.5,11380,False
50,84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,34.115182222222224,321.4092972222222,102651,en,Maleficent,19.274,7.0,8143,False
51,85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,30.020875000000004,345.7793627777778,259316,en,Fantastic Beasts and Where to Find Them,28.563000000000002,7.4,12152,False
52,88,2016-07-01,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,-29.64274388888889,93.83445833333333,258489,en,The Legend of Tarzan,14.797,5.8,4102,False
53,89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,-58.96416277777777,0.026546666666666666,44826,en,Hugo,12.936,7.1,4124,False
54,90,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,-77.51146111111112,19.499086666666667,339964,en,Valerian and the City of a Thousand Planets,24.003,6.6,4149,False
55,93,2016-05-27,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,-12.672758988764047,204.79637415730338,246655,en,X-Men: Apocalypse,39.293,6.5,8348,False
56,94,2018-08-10,The Meg,178000000.0,145443742.0,529530715.0,-18.290032584269664,197.48916573033708,345940,en,The Meg,31.397,5.9,2896,False
57,95,2014-06-06,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,-43.70435056179775,108.16924494382023,137113,en,Edge of Tomorrow,19.753,7.6,8047,False
58,97,2016-04-15,The Jungle Book,175000000.0,364001123.0,962854547.0,108.00064171428572,450.2025982857143,278927,en,The Jungle Book,20.129,6.8,5257,False
59,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,103.69240628571428,388.1348525714286,150540,en,Inside Out,24.796999999999997,8.0,12691,False
60,99,2017-07-07,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,90.97208,402.9522,315635,en,Spider-Man: Homecoming,46.775,7.4,11585,False
61,100,2016-08-05,Suicide Squad,175000000.0,325100054.0,746059887.0,85.77145942857143,326.31993542857145,297761,en,Suicide Squad,16.53,5.9,13533,False
62,2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,19.84343714285714,356.00462914285714,354912,en,Coco,25.961,8.2,8669,False
63,5,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0,-12.627934285714284,119.16649657142857,260514,en,Cars 3,18.427,6.7,2596,False
64,11,2017-05-12,King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,-77.614248,-20.21123657142857,274857,en,King Arthur: Legend of the Sword,21.793000000000003,6.5,3305,False
65,12,2013-12-25,47 Ronin,175000000.0,38362475.0,151716815.0,-78.07858571428572,-13.304677142857143,64686,en,47 Ronin,25.049,6.0,2080,False
66,13,2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,145.71750588235295,668.1016464705882,351286,en,Jurassic World: Fallen Kingdom,34.958,6.5,5995,False
67,14,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,95.98359529411765,353.45148,118340,en,Guardians of the Galaxy,49.606,7.9,17958,False
68,15,2010-05-07,Iron Man 2,170000000.0,312433331.0,621156389.0,83.78431235294119,265.3861111764706,10138,en,Iron Man 2,28.515,6.8,12368,False
69,16,2014-04-04,Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,52.792328235294114,320.2364052941177,100402,en,Captain America: The Winter Soldier,18.073,7.7,11034,False
70,17,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,22.67387588235294,318.02621529411766,119450,en,Dawn of the Planet of the Apes,27.641,7.3,7080,False
71,19,2012-06-01,Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,-8.743085294117648,135.89514470588236,58595,en,Snow White and the Huntsman,21.233,5.9,5258,False
72,21,2004-05-07,Van Helsing,170000000.0,120150546.0,300150546.0,-29.323208235294118,76.55914470588236,7131,en,Van Helsing,15.259,6.1,3047,False
73,23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,-45.03745764705883,21.54559882352941,158852,en,Tomorrowland,20.136,6.2,4610,False
74,26,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,-54.68095235294118,62.8988894117647,241259,en,Alice Through the Looking Glass,16.642,6.5,3803,False
75,28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,40.995103030303035,309.94216121212116,284052,en,Doctor Strange,33.035,7.3,12582,False
76,29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,34.865350303030304,295.2289866666667,177572,en,Big Hero 6,36.92,7.8,10176,False
77,30,2010-03-26,How to Train Your Dragon,165000000.0,217581232.0,494870992.0,31.86741333333333,199.92181333333335,10191,en,How to Train Your Dragon,28.734,7.7,7610,False
78,31,2012-11-02,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,14.795561818181818,200.91607333333332,82690,en,Wreck-It Ralph,22.967,7.3,7780,False
79,32,2014-11-05,Interstellar,165000000.0,188017894.0,666379375.0,13.950238787878789,303.8662878787879,157336,en,Interstellar,28.44,8.2,18597,False
